1.1911833,0.5938539
0.73949826,0.72325873
0.5925627,0.7744677
0.4719576,0.8183263
0.40243688,0.8438392
0.35923082,0.85943085
0.3302489,0.8698504
0.30969962,0.8769404
0.29430765,0.88212687
0.28243664,0.88617307
0.27261865,0.8893396
0.264136,0.8921526
0.2572693,0.8944221
0.25148746,0.8962761
0.24653523,0.8977457
0.24233384,0.8991671
0.23866823,0.90032417
0.23537953,0.90142196
0.23230036,0.9023662
0.22961496,0.90319407
0.22710314,0.9040363
0.2248403,0.90474784
0.22284895,0.905371
0.22093719,0.9060083
0.21896513,0.9066314
0.21721189,0.9073161
0.21553783,0.90775156
0.2140963,0.90826553
0.21269207,0.9086876
0.21135819,0.90912694
0.21008947,0.9095538
0.20896216,0.9100391
0.20773736,0.9103481
0.2066549,0.91071546
0.20556301,0.91103524
0.2046642,0.9114094
0.2036584,0.9117511
0.20285995,0.91193306
0.201787,0.912296
0.20111379,0.91255695
0.20025635,0.9128363
0.19942875,0.91307163
0.19875912,0.91337913
0.19808449,0.9135153
0.19740996,0.91374743
0.19679065,0.91396147
0.19596869,0.9141319
0.19556014,0.9143566
0.19496055,0.9145544
0.19435777,0.914712
0.19374335,0.91491944
0.19319148,0.9150556
0.19261584,0.9153111
0.19206728,0.91544324
0.19169644,0.9154313
0.19101183,0.91577107
0.19076087,0.91584206
0.1902635,0.9160722
0.18998852,0.9161279
0.18939301,0.9163666
0.1889507,0.9165166
0.1886207,0.9165424
0.18818311,0.9167551
0.18779291,0.91676223
0.18741225,0.9169226
0.18695688,0.91709876
0.18663655,0.91723895
0.18620981,0.91740006
0.18586306,0.91736126
0.18560219,0.9175829
0.18518731,0.917672
0.18497787,0.91773194
0.18463829,0.9178811
0.18423812,0.91799253
0.1840411,0.9181035
0.18352756,0.9182945
0.1833797,0.9182509
0.18309848,0.9184534
0.18282846,0.9184481
0.18251641,0.9185757
0.18221517,0.9187249
0.18196583,0.9186707
0.18172792,0.91886914
0.1812502,0.9189432
0.1810133,0.91905624
0.18088706,0.91901845
0.18066894,0.9191794
0.1804137,0.91922575
0.18026477,0.9193135
0.1799052,0.91940284
0.17975922,0.91953105
0.1793888,0.91961884
0.1792211,0.91963893
0.17903356,0.9196947
0.1787327,0.91985106
0.17849992,0.91995275
0.17840394,0.9199761
0.17810102,0.9200671
0.17805019,0.92005616
0.17773187,0.9202168
0.1775104,0.9202455
0.17731734,0.9203042
0.17713784,0.9203583
0.17695798,0.92041487
0.17673045,0.9205166
0.17656752,0.9205846
0.1763525,0.92064136
0.17631783,0.9205698
0.17604832,0.9207688
0.1758083,0.92072034
0.17561783,0.920906
0.17547272,0.92095137
0.17524077,0.9209967
0.17510478,0.92103916
0.17498484,0.92112255
0.17471698,0.9212288
0.17465103,0.9211856
0.17453128,0.9212213
0.17433478,0.92129165
0.1742375,0.92131114
0.17398643,0.92143756
0.17397368,0.9214363
0.17360081,0.9215365
0.17351906,0.92162967
0.17328599,0.9216738
0.17323695,0.92160726
0.1731043,0.92176247
0.17293058,0.921719
0.1727704,0.9218473
0.17268513,0.92190737
0.17254291,0.92189074
0.17238879,0.9219535
0.17231008,0.9219879
0.17208517,0.9221297
0.1719239,0.92208236
0.17179981,0.92213935
0.1716847,0.9222072
0.17156085,0.9222155
0.17136382,0.9223316
0.17128281,0.9223473
0.17115758,0.92238235
0.17103903,0.9224466
0.17088838,0.9225626
0.17083476,0.92253864
0.17058785,0.9226096
0.17057122,0.92262095
0.170462,0.92267287
0.17028984,0.92274046
0.17014839,0.92278653
0.17011923,0.922824
0.17002764,0.9228036
0.16990168,0.9228296
0.16984457,0.9228642
0.16961665,0.9229529
0.16950145,0.9228652
0.16939387,0.9230818
0.169308,0.92297333
0.1691797,0.9231079
0.16918714,0.9231367
0.16904056,0.92321634
0.16887851,0.92314374
0.16867016,0.923266
0.16869688,0.9233027
0.1685375,0.9233024
0.16845773,0.9233617
0.168418,0.92330396
0.1681096,0.92346644
0.16811563,0.9234678
0.16800284,0.9235871
0.16797745,0.9235417
0.16796274,0.9235046
0.16771159,0.9235748
0.167612,0.9236279
0.16759804,0.9236062
0.16748819,0.9236498
0.16735336,0.92371094
0.16715136,0.9237718
0.16724807,0.9237853
0.16719544,0.9237993
0.16699524,0.9238401
0.16692333,0.9238826
0.16685636,0.9238706
0.16674411,0.9239826
0.16665035,0.92402214
0.16641253,0.9240092
0.16644153,0.92411834
0.16642663,0.92407846
0.16638517,0.92411155
0.16620989,0.9241471
0.16622515,0.9241013
0.16600686,0.9241778
0.16588813,0.92425364
0.1658417,0.9243097
0.16571033,0.9243377
0.16573259,0.9243662
0.16564721,0.9243803
0.16555388,0.9244187
0.16547246,0.9243346
0.16541696,0.9244308
0.16531818,0.924484
